,conf,doi,fig_num,status,type,category,subcategory,subsubcategory,dimensionality,multiplicity,n_panels
0,wcre-saner2024,10.1109/SANER60148.2024.00025,7,SUCCESS,T,,,,,,
1,wcre-saner2024,10.1109/SANER60148.2024.00070,3,SUCCESS,P,,,,,,
2,wcre-saner2024,10.1109/SANER60148.2024.00087,2,SUCCESS,P,,,,,,
3,wcre-saner2024,10.1109/SANER60148.2024.00070,6,SUCCESS,D,Distribution,Histogram,Histogram,2.0,Single,1
4,wcre-saner2024,10.1109/SANER60148.2024.00070,2,SUCCESS,P,,,,,,
5,wcre-saner2024,10.1109/SANER60148.2024.00015,1,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Multipanel,2
6,wcre-saner2024,10.1109/SANER60148.2024.00008,1,SUCCESS,P,,,,,,
7,wcre-saner2024,10.1109/SANER60148.2024.00082,2,SUCCESS,P,,,,,,
8,wcre-saner2024,10.1109/SANER60148.2024.00037,2,SUCCESS,P,,,,,,
9,wcre-saner2024,10.1109/SANER60148.2024.00010,3,SUCCESS,D,Bar,Bar Chart,Bar Chart,2.0,Single,1
10,wcre-saner2024,10.1109/SANER60148.2024.00056,4,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Single,1
11,wcre-saner2024,10.1109/SANER60148.2024.00026,4,SUCCESS,D,Tree and Network (Graph),Tree and Network (Graph),Graph,2.0,Grouped,1
12,wcre-saner2024,10.1109/SANER60148.2024.00056,2,SUCCESS,P,,,,,,
13,wcre-saner2024,10.1109/SANER60148.2024.00026,8,SUCCESS,D,Circle,Donut Chart,Donut Chart,2.0,Single,1
14,wcre-saner2024,10.1109/SANER60148.2024.00037,6,SUCCESS,P,,,,,,
15,wcre-saner2024,10.1109/SANER60148.2024.00029,1,SUCCESS,P,,,,,,
16,wcre-saner2024,10.1109/SANER60148.2024.00074,4,SUCCESS,P,,,,,,
17,wcre-saner2024,10.1109/SANER60148.2024.00104,3,SUCCESS,P,,,,,,
18,wcre-saner2024,10.1109/SANER60148.2024.00016,2,SUCCESS,P,,,,,,
19,wcre-saner2024,10.1109/SANER60148.2024.00102,1,SUCCESS,P,,,,,,
20,wcre-saner2024,10.1109/SANER60148.2024.00093,8,SUCCESS,P,,,,,,
21,wcre-saner2024,10.1109/SANER60148.2024.00067,2,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Single,1
22,wcre-saner2024,10.1109/SANER60148.2024.00064,6,SUCCESS,P,,,,,,
23,wcre-saner2024,10.1109/SANER60148.2024.00086,7,SUCCESS,D,Bar,Bar Chart,Bar Chart,2.0,Single,1
24,wcre-saner2024,10.1109/SANER60148.2024.00083,5,SUCCESS,D,Bar,Bar Chart,Stacked Bar Chart,2.0,Multipanel,1
25,kbse-ase2024,10.1145/3691620.3695473,1,SUCCESS,D,Circle,Pie Chart,Pie Chart,2.0,Multipanel,2
26,kbse-ase2024,10.1145/3691620.3695488,5,SUCCESS,D,Bar,Bar Chart,Bar Chart,2.0,Multipanel,2
27,kbse-ase2024,10.1145/3691620.3695488,5,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Multipanel,2
28,kbse-ase2024,10.1145/3691620.3695061,3,SUCCESS,D,Bar,Bar Chart,Bar Chart,2.0,Single,1
29,kbse-ase2024,10.1145/3691620.3695531,3,SUCCESS,P,,,,,,
30,kbse-ase2024,10.1145/3691620.3695601,5,SUCCESS,P,,,,,,
31,kbse-ase2024,10.1145/3691620.3695064,5,SUCCESS,T,,,,,,
32,kbse-ase2024,10.1145/3691620.3695481,1,SUCCESS,D,Tree and Network (Graph),Tree and Network (Graph),Tree,2.0,Single,1
33,kbse-ase2024,10.1145/3691620.3694982,9,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Multipanel,2
34,kbse-ase2024,10.1145/3691620.3695520,1,SUCCESS,P,,,,,,
35,kbse-ase2024,10.1145/3691620.3695502,5,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Multipanel,6
36,kbse-ase2024,10.1145/3691620.3695063,3,SUCCESS,D,Grid / Matrix,Heat Map,Heat Map,2.0,Multipanel,2
37,kbse-ase2024,10.1145/3691620.3695069,9,SUCCESS,D,Distribution,Box-And-Whisker Plot,Box-And-Whisker Plot,2.0,Multipanel,2
38,kbse-ase2024,10.1145/3691620.3695069,9,SUCCESS,D,Point,Scatter Plot,Scatter Plot,2.0,Multipanel,2
39,kbse-ase2024,10.1145/3691620.3695531,2,SUCCESS,P,,,,,,
40,kbse-ase2024,10.1145/3691620.3694983,1,SUCCESS,P,,,,,,
41,kbse-ase2024,10.1145/3691620.3694999,3,SUCCESS,T,,,,,,
42,kbse-ase2024,10.1145/3691620.3695593,4,SUCCESS,D,Circle,Donut Chart,Donut Chart,2.0,Multipanel,6
43,kbse-ase2024,10.1145/3691620.3695543,5,SUCCESS,D,Bar,Bar Chart,Bar Chart,2.0,Single,1
44,kbse-ase2024,10.1145/3691620.3695554,1,SUCCESS,D,Bar,Bar Chart,Bar Chart,2.0,Multipanel,2
45,kbse-ase2024,10.1145/3691620.3695545,1,SUCCESS,P,,,,,,
46,kbse-ase2024,10.1145/3691620.3695484,7,SUCCESS,P,,,,,,
47,kbse-ase2024,10.1145/3691620.3695013,2,SUCCESS,P,,,,,,
48,kbse-ase2024,10.1145/3691620.3695471,1,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Single,1
49,kbse-ase2024,10.1145/3691620.3695054,8,SUCCESS,D,Bar,Bar Chart,Grouped Bar Chart,2.0,Multipanel,4
50,kbse-ase2024,10.1145/3691620.3695513,10,SUCCESS,P,,,,,,
51,kbse-ase2024,10.1145/3691620.3694987,4,SUCCESS,D,Line,Line Graph,Line Graph,2.0,Multipanel,6
52,icsm-icsme2024,10.1109/ICSME58944.2024.00046,4,SUCCESS,T,,,,,,
