,conf,doi,fig_num,width,height,colors,visual_density
0,models-models2024,10_1145-3640310_3674086,6,474,573,"[('FFFFFF', 0.888480202649465), ('036897', 0.017201640635930517), ('00188D', 0.011653080610599333), ('646464', 0.0063327957820634604), ('808080', 0.005986701128857666), ('237BA4', 0.002916031546159454), ('232F3E', 0.002904985972120971), ('005073', 0.0018556564384651071), ('2079A3', 0.0014359246250027614), ('ADB2B7', 0.0008063269048092429)]",0.1060154196213579
1,models-models2024,10_1145-3640310_3674100,2,473,275,"[('FFFFFF', 0.8475341149336921), ('B3B3FF', 0.05040169133192389), ('565656', 0.00638093407649433), ('000000', 0.006019604074572362), ('404040', 0.003405727464924082), ('D5D5D5', 0.0025293100134537766), ('BFBFBF', 0.002044974053430713), ('3939FF', 0.0017143955410340189), ('C0C0C0', 0.0013376897943494137), ('CFCFCF', 0.0013300019219680953)]",0.1449240822602342
2,models-models2024,10_1145-3640310_3674079,3,1045,352,"[('FFFFFF', 0.5553284036537625), ('CCFFCC', 0.10863147020443671), ('C1DAF1', 0.08448782079164854), ('D2FFD2', 0.008264462809917356), ('96BC96', 0.007432579382340148), ('586E58', 0.006595258808177468), ('4A4A4A', 0.006562635928664637), ('D7FFD7', 0.006244562853414528), ('CDFFCD', 0.004336124401913876), ('C7E0F8', 0.004023488473249239)]",0.4334085471944331
3,models-models2024,10_1145-3640310_3674086,2,244,150,"[('FFFFFF', 0.8431147540983607), ('FFFFFB', 0.0580327868852459), ('404040', 0.021612021857923498), ('2C2C2C', 0.007021857923497268), ('000000', 0.005136612021857924), ('40403F', 0.001010928961748634), ('FEFEFE', 0.0009016393442622951), ('FDFDFD', 0.0008743169398907104), ('606060', 0.0008469945355191257), ('808080', 0.0005737704918032787)]",0.0924316939890709
4,models-models2024,10_1145-3640310_3674083,3,1026,343,"[('FFFFFF', 0.918574781625265), ('404040', 0.017597849499031024), ('000000', 0.0033047471285924564), ('363636', 0.0023130388329099393), ('242424', 0.001730516768110753), ('A0A0A0', 0.0011849351269329787), ('DFDFDF', 0.0008439466011968697), ('BFBFBF', 0.000804164606527657), ('808080', 0.0007643826118584443), ('FEFEFE', 0.0006876601935678197)]",0.0753641473297755
5,models-models2024,10_1145-3640310_3674094,11,476,340,"[('FFFFFF', 0.20547454275827978), ('F6F6F7', 0.20528917449332673), ('F7F6F7', 0.04125679683638161), ('F6F7F7', 0.03526322293623332), ('F6F6F8', 0.03394092931290163), ('F6F6F6', 0.02352323282254078), ('F5F6F7', 0.023455264458724666), ('F6F5F7', 0.021366782006920416), ('FFFFFE', 0.019327731092436976), ('FEFFFF', 0.01828966880869995)]",0.2700321304992534
6,models-models2024,10_1145-3640310_3674101,6,506,311,"[('FFFFFF', 0.2783892327440489), ('F7F7F7', 0.17911111675965583), ('F1F1F1', 0.1755652428097556), ('FFFFFE', 0.060794580786192695), ('F8F8F8', 0.016458447186812906), ('F2F2F2', 0.010936288651932437), ('C0CED8', 0.008832911810683375), ('0055B8', 0.00875665645692208), ('F0F0F0', 0.007879719888667184), ('F3F3F3', 0.006284712072493423)]",0.4033145660434942
7,models-models2024,10_1145-3640310_3674100,7,496,590,"[('FFFFFF', 0.8438285948605796), ('D5D5D5', 0.011389420448332422), ('7FBFBF', 0.00743234007654456), ('CFCFCF', 0.006683980317113177), ('7FCEF3', 0.005877528704209951), ('CEC77F', 0.00577843083652269), ('BF7FBF', 0.0055836522689994535), ('F27FBD', 0.005033488244942591), ('FFBF7F', 0.004958310552214325), ('BFBFBF', 0.0030925369054127937)]",0.1478471842536913
8,models-models2024,10_1145-3640310_3674093,1,506,357,"[('FFFFFF', 0.8784169794399973), ('032D60', 0.026007240841000433), ('0B827C', 0.008021390374331552), ('000000', 0.0033657731867450537), ('99A0A9', 0.0031277333067614398), ('979EA8', 0.0016994940268597557), ('FEFEFE', 0.0012898440008414433), ('BFBFBF', 0.0010019818203961426), ('808080', 0.0010019818203961426), ('DFDFDF', 0.0009853743869089138)]",0.1131409085373283
9,models-models2024,10_1145-3640310_3674100,1,459,159,"[('FFFFFF', 0.7771063701511353), ('EDAFAB', 0.013291130568230088), ('AAC6D3', 0.01292117126375358), ('C96A52', 0.01224976363711103), ('EFD2CB', 0.011660569189241035), ('EDC9AB', 0.011331716474150806), ('568DA7', 0.010934352776750113), ('B3B3FF', 0.008385744234800839), ('000000', 0.006618160891190858), ('565656', 0.002726737095956482)]",0.2135487318617163
