,conf,doi,fig_num,fig_page,mention_page,mention_heading,mention_heading_txt,path,total_pages
0,iwpc-icpc2024,10.1145/3643916.3644413,4,5,5.0,4 DATASET DESCRIPTION AND ANALYSIS,DATASET DESCRIPTION AND ANALYSIS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644413-Figure4-1.png,11
1,iwpc-icpc2024,10.1145/3643916.3644413,2,5,3.0,4 DATASET DESCRIPTION AND ANALYSIS,DATASET DESCRIPTION AND ANALYSIS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644413-Figure2-1.png,11
2,iwpc-icpc2024,10.1145/3643916.3644413,3,5,4.0,4 DATASET DESCRIPTION AND ANALYSIS,DATASET DESCRIPTION AND ANALYSIS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644413-Figure3-1.png,11
3,iwpc-icpc2024,10.1145/3643916.3644413,5,6,6.0,4 DATASET DESCRIPTION AND ANALYSIS,DATASET DESCRIPTION AND ANALYSIS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644413-Figure5-1.png,11
4,iwpc-icpc2024,10.1145/3643916.3644413,6,6,6.0,4 DATASET DESCRIPTION AND ANALYSIS,DATASET DESCRIPTION AND ANALYSIS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644413-Figure6-1.png,11
5,iwpc-icpc2024,10.1145/3643916.3644413,8,7,7.0,4 DATASET DESCRIPTION AND ANALYSIS,DATASET DESCRIPTION AND ANALYSIS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644413-Figure8-1.png,11
6,iwpc-icpc2024,10.1145/3643916.3644413,7,7,6.0,4 DATASET DESCRIPTION AND ANALYSIS,DATASET DESCRIPTION AND ANALYSIS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644413-Figure7-1.png,11
7,iwpc-icpc2024,10.1145/3643916.3644413,1,3,3.0,4 DATASET DESCRIPTION AND ANALYSIS,DATASET DESCRIPTION AND ANALYSIS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644413-Figure1-1.png,11
8,iwpc-icpc2024,10.1145/3643916.3644413,9,8,8.0,4 DATASET DESCRIPTION AND ANALYSIS,DATASET DESCRIPTION AND ANALYSIS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644413-Figure9-1.png,11
9,iwpc-icpc2024,10.1145/3643916.3644402,3,5,5.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644402-Figure3-1.png,11
10,iwpc-icpc2024,10.1145/3643916.3644402,5,7,7.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644402-Figure5-1.png,11
11,iwpc-icpc2024,10.1145/3643916.3644402,1,3,2.0,3 METHODOLOGY,METHODOLOGY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644402-Figure1-1.png,11
12,iwpc-icpc2024,10.1145/3643916.3644402,2,3,4.0,3 METHODOLOGY,METHODOLOGY,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644402-Figure2-1.png,11
13,iwpc-icpc2024,10.1145/3643916.3644402,6,8,8.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644402-Figure6-1.png,11
14,iwpc-icpc2024,10.1145/3643916.3644402,7,8,8.0,4 RESULTS,RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644402-Figure7-1.png,11
15,iwpc-icpc2024,10.1145/3643916.3644418,5,5,5.0,4 APPROACH,APPROACH,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644418-Figure5-1.png,12
16,iwpc-icpc2024,10.1145/3643916.3644418,6,5,5.0,4 APPROACH,APPROACH,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644418-Figure6-1.png,12
17,iwpc-icpc2024,10.1145/3643916.3644418,1,1,1.0,1 INTRODUCTION,INTRODUCTION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644418-Figure1-1.png,12
18,iwpc-icpc2024,10.1145/3643916.3644418,2,3,2.0,3 SUPPORT DATA DESIGN,SUPPORT DATA DESIGN,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644418-Figure2-1.png,12
19,iwpc-icpc2024,10.1145/3643916.3644418,3,3,4.0,3 SUPPORT DATA DESIGN,SUPPORT DATA DESIGN,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644418-Figure3-1.png,12
20,iwpc-icpc2024,10.1145/3643916.3644418,4,4,4.0,3 SUPPORT DATA DESIGN,SUPPORT DATA DESIGN,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644418-Figure4-1.png,12
21,iwpc-icpc2024,10.1145/3643916.3644425,2,6,5.0,4 DATA ANALYSIS AND RESULTS,DATA ANALYSIS AND RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644425-Figure2-1.png,12
22,iwpc-icpc2024,10.1145/3643916.3644425,4,7,6.0,4 DATA ANALYSIS AND RESULTS,DATA ANALYSIS AND RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644425-Figure4-1.png,12
23,iwpc-icpc2024,10.1145/3643916.3644425,3,7,5.0,4 DATA ANALYSIS AND RESULTS,DATA ANALYSIS AND RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644425-Figure3-1.png,12
24,iwpc-icpc2024,10.1145/3643916.3644425,5,8,7.0,4 DATA ANALYSIS AND RESULTS,DATA ANALYSIS AND RESULTS,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644425-Figure5-1.png,12
25,iwpc-icpc2024,10.1145/3643916.3644420,4,5,4.0,3 APPROACH,APPROACH,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644420-Figure4-1.png,12
26,iwpc-icpc2024,10.1145/3643916.3644420,5,5,6.0,3 APPROACH,APPROACH,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644420-Figure5-1.png,12
27,iwpc-icpc2024,10.1145/3643916.3644420,6,5,6.0,3 APPROACH,APPROACH,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644420-Figure6-1.png,12
28,iwpc-icpc2024,10.1145/3643916.3644420,1,1,1.0,1 INTRODUCTION,INTRODUCTION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644420-Figure1-1.png,12
29,iwpc-icpc2024,10.1145/3643916.3644420,2,1,1.0,1 INTRODUCTION,INTRODUCTION,../datacollection/pdf_analysis/iwpc-icpc2024/figures/10__1145--3643916__3644420-Figure2-1.png,12
